elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000014, 5.000014, 49453, 4688, 90260.2, 56510, 281210, 441664, 662863, 1117053, 0
10.000017, 5.000003, 39334, 4142, 113761.4, 51038, 453168, 712268, 1014619, 1490031, 0
15.000161, 5.000144, 38809, 3430, 116695.0, 47213, 554858, 910345, 1285254, 1832101, 0
20.000034, 4.999873, 38990, 4308, 117491.0, 46604, 590393, 904970, 1353394, 2136440, 0
25.000064, 5.00003, 39605, 4552, 115401.3, 47915, 582850, 1005548, 1375796, 2261590, 0
30.000094, 5.00003, 38892, 4314, 116349.9, 47013, 631196, 1071549, 1546672, 2152289, 0
35.000039, 4.999945, 39291, 4952, 116402.3, 47044, 663033, 1214866, 1697616, 2818498, 0
40.000045, 5.000006, 38876, 4328, 115002.1, 46772, 671703, 1363628, 1757926, 3268386, 0
45.000017, 4.999972, 38787, 4276, 115027.5, 45632, 727762, 1583302, 2007264, 4458380, 0
50.000024, 5.000007, 38815, 4318, 116430.1, 44394, 771622, 1792859, 2171675, 3639501, 0
55.000059, 5.000035, 39506, 4738, 116752.6, 44215, 781051, 1815107, 2301259, 3843546, 1
60.000047, 4.999988, 38860, 4727, 117347.5, 44660, 766532, 1794857, 2184332, 4257849, 1
65.000051, 5.000004, 38955, 2969, 117406.4, 45559, 734323, 1789363, 2268283, 4356172, 1
70.000015, 4.999964, 38712, 4777, 119098.1, 46105, 684888, 1842559, 2358938, 4023791, 0
75.000023, 5.000008, 38901, 4601, 118363.0, 46018, 609008, 1724047, 2203098, 4297020, 0
80.000012, 4.999989, 39355, 4734, 116945.3, 46827, 544953, 1834586, 2136117, 3329200, 0
85.00001, 4.999998, 38943, 4827, 116924.0, 46399, 592836, 1838981, 2060634, 4009247, 1
90.000055, 5.000045, 39264, 4769, 117333.7, 45837, 598814, 1840833, 2151019, 4981218, 1
95.000043, 4.999988, 38425, 4769, 118917.9, 46129, 574655, 1732915, 2111406, 3624187, 1
100.000065, 5.000022, 38460, 4349, 119205.7, 46184, 603774, 1718106, 2073279, 3382679, 0
105.00006, 4.999995, 39448, 4956, 117731.2, 46201, 610693, 1677526, 2114487, 4097535, 0
110.000006, 4.999946, 39806, 4830, 114242.4, 46207, 571501, 1660093, 1986473, 3984800, 1
115.000026, 5.00002, 38988, 5007, 113853.4, 46925, 508725, 1690964, 2058563, 3697886, 0
120.000015, 4.999989, 39500, 5042, 117587.7, 47501, 456313, 1856414, 2227781, 3662430, 1
125.000059, 5.000044, 38401, 4613, 117765.8, 46505, 538483, 1789352, 2126202, 3771256, 0
130.000013, 4.999954, 39835, 4641, 115957.7, 46457, 510340, 1792394, 2168833, 3869323, 0
135.000037, 5.000024, 38560, 4400, 116776.6, 44413, 554285, 1896313, 2219193, 3862239, 1
140.000055, 5.000018, 38198, 4824, 121073.9, 44219, 719126, 1871751, 2241537, 4715360, 0
145.000212, 5.000157, 38418, 4124, 117797.0, 44359, 658135, 1890119, 2122907, 3980101, 1
150.000011, 4.999799, 39197, 4124, 118490.4, 44126, 655203, 1895236, 2260947, 3882886, 1
155.000008, 4.999997, 39603, 4180, 115715.1, 44455, 486258, 1876077, 2169288, 3925203, 0
160.000013, 5.000005, 37599, 4180, 121745.6, 44660, 760609, 1860259, 2238933, 4140395, 1
165.000074, 5.000061, 39193, 5141, 116715.9, 46034, 659594, 1842327, 2273770, 3602041, 2
170.000015, 4.999941, 38536, 4768, 118428.2, 46394, 636273, 1904765, 2151303, 3483596, 0
175.000061, 5.000046, 38832, 4606, 116403.0, 45857, 623659, 1916865, 2184328, 4203029, 2
180.000076, 5.000015, 39281, 4606, 117074.0, 46663, 667882, 1745252, 2190542, 3940742, 2
185.000016, 4.99994, 39431, 5095, 115493.7, 46469, 587747, 1880211, 2180855, 3889348, 3
190.000018, 5.000002, 38749, 4868, 115254.8, 45781, 601358, 1783689, 2397282, 3826243, 0
195.000109, 5.000091, 39191, 3661, 117583.5, 45725, 701018, 1844399, 2475089, 5225591, 2
200.000036, 4.999927, 38251, 4239, 118204.0, 45370, 731880, 1937432, 2500794, 4168541, 1
205.000023, 4.999987, 38105, 4604, 120909.9, 45289, 713228, 1944974, 2539572, 4561749, 2
210.000033, 5.00001, 38890, 4385, 117756.3, 45456, 532123, 1871097, 2607195, 4449875, 1
215.000028, 4.999995, 38990, 4587, 119066.9, 45866, 501137, 1960956, 2587212, 4353566, 2
220.000054, 5.000026, 39034, 4587, 115220.7, 46337, 388776, 1935741, 2398711, 4923640, 1
225.000006, 4.999952, 38864, 5091, 117281.5, 46736, 444988, 1927756, 2263659, 4244115, 3
230.000077, 5.000071, 39118, 5101, 117716.3, 46228, 539068, 1886671, 2278231, 4005403, 0
235.000022, 4.999945, 39469, 4392, 115834.8, 46535, 489695, 1866867, 2287632, 4069511, 1
240.000038, 5.000016, 38623, 4490, 118776.0, 47635, 524080, 1889202, 2248797, 3892840, 1
245.000021, 4.999983, 39139, 3776, 117753.7, 46679, 515974, 1780557, 2195484, 3856124, 0
250.000039, 5.000018, 38584, 4678, 118732.2, 46765, 542756, 1688072, 2120121, 3604070, 1
255.000057, 5.000018, 37893, 4678, 119081.1, 46833, 517240, 1637337, 2258636, 3794981, 1
260.000134, 5.000077, 38860, 4708, 116823.3, 47218, 473121, 1761647, 2362526, 3591766, 2
