elapsed, window, total, successful, failed
5.000242, 5.000242, 216566, 216566, 0
10.000755, 5.000513, 209845, 209845, 0
15.000035, 4.99928, 208160, 208160, 0
20.000732, 5.000697, 209318, 209318, 0
25.000081, 4.999349, 208739, 208739, 0
30.000023, 4.999942, 210622, 210622, 0
35.000057, 5.000034, 207926, 207926, 0
40.000025, 4.999968, 210596, 210596, 0
45.000056, 5.000031, 207274, 207274, 0
50.000008, 4.999952, 208278, 208278, 0
55.000721, 5.000713, 207623, 207623, 0
60.000059, 4.999338, 209556, 209556, 0
65.000715, 5.000656, 208701, 208701, 0
70.000008, 4.999293, 209186, 209186, 0
75.00002, 5.000012, 208220, 208220, 0
80.000149, 5.000129, 208221, 208221, 0
85.000086, 4.999937, 207396, 207396, 0
90.000014, 4.999928, 208342, 208342, 0
95.000293, 5.000279, 207992, 207992, 0
100.000606, 5.000313, 207885, 207885, 0
105.00006, 4.999454, 207239, 207239, 0
110.000065, 5.000005, 208359, 208359, 0
115.000179, 5.000114, 206636, 206636, 0
120.000042, 4.999863, 207067, 207067, 0
125.00008, 5.000038, 208150, 208150, 0
130.000018, 4.999938, 208311, 208311, 0
135.000013, 4.999995, 208973, 208973, 0
140.000686, 5.000673, 207237, 207237, 0
145.001703, 5.001017, 207095, 207095, 0
150.00012, 4.998417, 210254, 210254, 0
155.000022, 4.999902, 207796, 207796, 0
160.000205, 5.000183, 209795, 209795, 0
165.00002, 4.999815, 208703, 208703, 0
170.002249, 5.002229, 208997, 208997, 0
175.000905, 4.998656, 205444, 205444, 0
180.000019, 4.999114, 209545, 209545, 0
185.000043, 5.000024, 207651, 207651, 0
190.00008, 5.000037, 208129, 208129, 0
195.000066, 4.999986, 207425, 207425, 0
200.00002, 4.999954, 208966, 208966, 0
205.000081, 5.000061, 208143, 208143, 0
210.000015, 4.999934, 210118, 210118, 0
215.000134, 5.000119, 209269, 209269, 0
220.000156, 5.000022, 209607, 209607, 0
225.000012, 4.999856, 208308, 208308, 0
230.000068, 5.000056, 208502, 208502, 0
235.000123, 5.000055, 206197, 206197, 0
240.000192, 5.000069, 207228, 207228, 0
245.000013, 4.999821, 207565, 207565, 0
250.000084, 5.000071, 208212, 208212, 0
255.000099, 5.000015, 207828, 207828, 0
260.000198, 5.000099, 207861, 207861, 0
265.000048, 4.99985, 208239, 208239, 0
270.000101, 5.000053, 208274, 208274, 0
275.000013, 4.999912, 207747, 207747, 0
280.000048, 5.000035, 207787, 207787, 0
285.00015, 5.000102, 208803, 208803, 0
290.000051, 4.999901, 209758, 209758, 0
295.000122, 5.000071, 209298, 209298, 0
300.000431, 5.000309, 206596, 206596, 0
301.03922, 1.038789, 28955, 28955, 0
