elapsed, window, total, successful, failed
5.000122, 5.000122, 49891, 43612, 6279
10.000019, 4.999897, 43811, 40505, 3306
15.000099, 5.00008, 44968, 42217, 2751
20.000203, 5.000104, 41707, 39368, 2339
25.000157, 4.999954, 41212, 39224, 1988
30.000023, 4.999866, 43379, 41444, 1935
35.000184, 5.000161, 43216, 41504, 1712
40.000037, 4.999853, 43313, 41713, 1600
45.000272, 5.000235, 42022, 40598, 1424
50.000158, 4.999886, 42887, 41464, 1423
55.000017, 4.999859, 41872, 40574, 1298
60.000016, 4.999999, 43271, 41909, 1362
65.00016, 5.000144, 43032, 41788, 1244
70.00016, 5.0, 42165, 40913, 1252
75.000029, 4.999869, 41694, 40511, 1183
80.001937, 5.001908, 41896, 40825, 1071
85.000011, 4.998074, 42675, 41620, 1055
90.000154, 5.000143, 44633, 43578, 1055
95.000054, 4.9999, 40678, 39689, 989
100.000147, 5.000093, 42256, 41370, 886
105.000022, 4.999875, 43987, 43005, 982
110.000023, 5.000001, 43065, 42171, 894
115.000058, 5.000035, 43361, 42412, 949
120.000014, 4.999956, 41921, 41020, 901
125.000022, 5.000008, 41672, 40822, 850
130.000011, 4.999989, 41203, 40419, 784
135.000009, 4.999998, 42234, 41444, 790
140.000064, 5.000055, 41930, 41094, 836
145.000081, 5.000017, 43647, 42794, 853
150.000075, 4.999994, 42912, 42097, 815
155.000054, 4.999979, 40439, 39644, 795
160.000076, 5.000022, 40680, 39939, 741
165.000052, 4.999976, 41979, 41216, 763
170.000011, 4.999959, 41430, 40724, 706
175.00001, 4.999999, 40805, 40078, 727
180.000136, 5.000126, 41926, 41206, 720
185.000008, 4.999872, 41783, 41167, 616
190.00013, 5.000122, 42833, 42107, 726
195.000386, 5.000256, 41185, 40514, 671
200.000085, 4.999699, 43004, 42353, 651
205.00007, 4.999985, 41546, 40900, 646
210.000077, 5.000007, 40861, 40253, 608
215.000105, 5.000028, 40966, 40373, 593
220.000007, 4.999902, 40777, 40174, 603
225.00003, 5.000023, 43106, 42499, 607
230.000018, 4.999988, 41583, 41038, 545
235.000051, 5.000033, 41899, 41418, 481
240.000054, 5.000003, 41209, 40655, 554
245.000093, 5.000039, 42349, 41822, 527
250.000153, 5.00006, 40491, 39929, 562
255.000016, 4.999863, 40018, 39480, 538
260.001732, 5.001716, 42270, 41783, 487
265.000079, 4.998347, 39234, 38742, 492
270.000177, 5.000098, 41186, 40739, 447
275.000051, 4.999874, 40508, 39960, 548
280.000017, 4.999966, 41778, 41302, 476
285.000024, 5.000007, 40800, 40312, 488
290.000742, 5.000718, 40693, 40274, 419
295.000032, 4.99929, 41102, 40606, 496
300.00004, 5.000008, 39354, 38946, 408
301.021846, 1.021806, 7732, 7632, 100
