elapsed, window, total, successful, failed
5.000285, 5.000285, 466730, 466730, 0
10.000086, 4.999801, 426145, 426145, 0
15.000175, 5.000089, 425141, 425141, 0
20.000071, 4.999896, 422267, 422267, 0
25.000132, 5.000061, 426104, 426104, 0
30.000159, 5.000027, 422781, 422781, 0
35.000076, 4.999917, 423161, 423161, 0
40.000052, 4.999976, 420903, 420903, 0
45.000023, 4.999971, 423074, 423074, 0
50.000028, 5.000005, 420651, 420651, 0
55.000129, 5.000101, 425104, 425104, 0
60.000111, 4.999982, 418406, 418406, 0
65.000097, 4.999986, 422842, 422842, 0
70.000162, 5.000065, 413511, 413511, 0
75.000109, 4.999947, 421394, 421394, 0
80.000056, 4.999947, 412591, 412591, 0
85.000046, 4.99999, 420103, 420103, 0
90.000169, 5.000123, 415537, 415537, 0
95.000266, 5.000097, 419378, 419378, 0
100.000036, 4.99977, 415852, 415852, 0
105.000102, 5.000066, 420214, 420214, 0
110.000033, 4.999931, 414666, 414666, 0
115.000187, 5.000154, 421278, 421278, 0
120.000041, 4.999854, 415866, 415866, 0
125.000108, 5.000067, 421648, 421648, 0
130.000051, 4.999943, 416121, 416121, 0
135.000055, 5.000004, 419209, 419209, 0
140.00048, 5.000425, 418225, 418225, 0
145.000178, 4.999698, 420669, 420669, 0
150.000051, 4.999873, 418259, 418259, 0
155.000266, 5.000215, 421748, 421748, 0
160.000198, 4.999932, 418693, 418693, 0
165.000063, 4.999865, 421124, 421124, 0
170.000175, 5.000112, 415274, 415274, 0
175.00039, 5.000215, 420397, 420397, 0
180.000076, 4.999686, 417168, 417168, 0
185.000116, 5.00004, 421532, 421532, 0
190.000129, 5.000013, 417820, 417820, 0
195.000066, 4.999937, 423828, 423828, 0
200.000038, 4.999972, 415852, 415852, 0
205.000021, 4.999983, 422065, 422065, 0
210.000065, 5.000044, 418011, 418011, 0
215.000055, 4.99999, 420560, 420560, 0
220.000108, 5.000053, 416365, 416365, 0
225.000053, 4.999945, 421203, 421203, 0
230.00012, 5.000067, 417676, 417676, 0
235.000149, 5.000029, 422466, 422466, 0
240.000069, 4.99992, 418157, 418157, 0
245.000026, 4.999957, 420765, 420765, 0
250.000206, 5.00018, 419269, 419269, 0
255.000115, 4.999909, 421988, 421988, 0
260.000037, 4.999922, 418699, 418699, 0
265.000082, 5.000045, 424590, 424590, 0
270.000434, 5.000352, 417764, 417764, 0
275.000257, 4.999823, 424610, 424610, 0
280.000119, 4.999862, 421928, 421928, 0
285.000029, 4.99991, 423388, 423388, 0
290.000022, 4.999993, 418948, 418948, 0
295.000379, 5.000357, 421706, 421706, 0
300.000175, 4.999796, 420813, 420813, 0
301.09965, 1.099475, 30276, 30276, 0
