elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000314, 5.000314, 68056, 10966, 63732.4, 64625, 90631, 101219, 114473, 140998, 0
10.000127, 4.999813, 60281, 14315, 65539.1, 66355, 92977, 104476, 118102, 147433, 0
15.000071, 4.999944, 59003, 14372, 65865.6, 66663, 93111, 104194, 118102, 142656, 0
20.000193, 5.000122, 59204, 14290, 66130.7, 66988, 93366, 104497, 118635, 143425, 0
25.000038, 4.999845, 57876, 13914, 65877.8, 66658, 93598, 104700, 119243, 141699, 0
30.000296, 5.000258, 59801, 13196, 65877.3, 66741, 93331, 104421, 118654, 141175, 0
35.00059, 5.000294, 58864, 14325, 66150.0, 66854, 93897, 105053, 119824, 141198, 0
40.000053, 4.999463, 58780, 14398, 66053.7, 66871, 93227, 103565, 116385, 135120, 0
45.00016, 5.000107, 58733, 14398, 66248.8, 67031, 93979, 105285, 119790, 147894, 0
50.000326, 5.000166, 58915, 14532, 66187.8, 66946, 93819, 105315, 120047, 160077, 0
55.000952, 5.000626, 58917, 14634, 66314.4, 67201, 93854, 104729, 118581, 147131, 0
60.000081, 4.999129, 58767, 13257, 66182.4, 66932, 93904, 104954, 118115, 141832, 0
65.000216, 5.000135, 58892, 13226, 66066.6, 66894, 93430, 104732, 121223, 142526, 0
70.001158, 5.000942, 59043, 14733, 66249.9, 67000, 93796, 104768, 119134, 137275, 0
75.000013, 4.998855, 58816, 13938, 66221.6, 67000, 93604, 104673, 117498, 137275, 0
80.000018, 5.000005, 58990, 15784, 66145.9, 67034, 93405, 103750, 118274, 141572, 0
85.000068, 5.00005, 58728, 14513, 66140.1, 67067, 93175, 103343, 115698, 145031, 0
90.000287, 5.000219, 58997, 14734, 66299.0, 67127, 93508, 104351, 119189, 139211, 0
95.000841, 5.000554, 58391, 14891, 66494.9, 67353, 93538, 104235, 118638, 138609, 0
100.000176, 4.999335, 58808, 14900, 66407.8, 67284, 93416, 104225, 118772, 138988, 0
105.000075, 4.999899, 57903, 14101, 66519.4, 67372, 93235, 103582, 117141, 142626, 0
110.000055, 4.99998, 59071, 14377, 66420.7, 67304, 93660, 104823, 120334, 145884, 0
115.000669, 5.000614, 58239, 13577, 66493.8, 67283, 94077, 105686, 121615, 153396, 0
120.000692, 5.000023, 59276, 13471, 66567.9, 67439, 94409, 105582, 121478, 156255, 0
125.000179, 4.999487, 57858, 10432, 66288.3, 67113, 94065, 105354, 121599, 156255, 0
130.000971, 5.000792, 59601, 13996, 66263.2, 66959, 94150, 105963, 120657, 144898, 0
