elapsed, window, total, successful, failed
5.000016, 5.000016, 623337, 623337, 0
10.000315, 5.000299, 556195, 556195, 0
15.000049, 4.999734, 551384, 551384, 0
20.001048, 5.000999, 546671, 546671, 0
25.00005, 4.999002, 541409, 541409, 0
30.001067, 5.001017, 548325, 548325, 0
35.000028, 4.998961, 541434, 541434, 0
40.000365, 5.000337, 544647, 544647, 0
45.001043, 5.000678, 546902, 546902, 0
50.000034, 4.998991, 546704, 546704, 0
55.000864, 5.00083, 544961, 544961, 0
60.000285, 4.999421, 542664, 542664, 0
65.000033, 4.999748, 552045, 552045, 0
70.001073, 5.00104, 545305, 545305, 0
75.000155, 4.999082, 550663, 550663, 0
80.000069, 4.999914, 547512, 547512, 0
85.00005, 4.999981, 547244, 547244, 0
90.000168, 5.000118, 541547, 541547, 0
95.000012, 4.999844, 554815, 554815, 0
100.000101, 5.000089, 544590, 544590, 0
105.000018, 4.999917, 546403, 546403, 0
110.000033, 5.000015, 545095, 545095, 0
115.000528, 5.000495, 556182, 556182, 0
120.000157, 4.999629, 542046, 542046, 0
125.000094, 4.999937, 540950, 540950, 0
130.000161, 5.000067, 548403, 548403, 0
135.000069, 4.999908, 541196, 541196, 0
140.000013, 4.999944, 551095, 551095, 0
145.000034, 5.000021, 546767, 546767, 0
150.000438, 5.000404, 551632, 551632, 0
155.001035, 5.000597, 545053, 545053, 0
160.000998, 4.999963, 538807, 538807, 0
165.000099, 4.999101, 559567, 559567, 0
170.000145, 5.000046, 541685, 541685, 0
175.000086, 4.999941, 548553, 548553, 0
180.000102, 5.000016, 542426, 542426, 0
185.000094, 4.999992, 550052, 550052, 0
190.000034, 4.99994, 538252, 538252, 0
195.000023, 4.999989, 548756, 548756, 0
200.001261, 5.001238, 542245, 542245, 0
205.000053, 4.998792, 544297, 544297, 0
210.000052, 4.999999, 544112, 544112, 0
215.000426, 5.000374, 546001, 546001, 0
220.000038, 4.999612, 551611, 551611, 0
225.000095, 5.000057, 544556, 544556, 0
230.000039, 4.999944, 543210, 543210, 0
235.000189, 5.00015, 553348, 553348, 0
240.000037, 4.999848, 539046, 539046, 0
245.000081, 5.000044, 549177, 549177, 0
250.000034, 4.999953, 548484, 548484, 0
255.000033, 4.999999, 531666, 531666, 0
260.000248, 5.000215, 550347, 550347, 0
265.00008, 4.999832, 542830, 542830, 0
270.000989, 5.000909, 548079, 548079, 0
275.000532, 4.999543, 545886, 545886, 0
280.00001, 4.999478, 544413, 544413, 0
285.000019, 5.000009, 547134, 547134, 0
290.001182, 5.001163, 541492, 541492, 0
295.000185, 4.999003, 547661, 547661, 0
300.000023, 4.999838, 545873, 545873, 0
301.059535, 1.059512, 14020, 14020, 0
