elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000479, 5.000479, 3335, 4881, 14320.6, 15269, 22683, 57633, 65338, 67826, 1337
10.000084, 4.999605, 4314, 2064, 14471.5, 15229, 22824, 57631, 64626, 68120, 571
15.000006, 4.999922, 4611, 2741, 14917.9, 15262, 23538, 60953, 63989, 69108, 338
20.000159, 5.000153, 4756, 3467, 14934.0, 15277, 23306, 60537, 65308, 68217, 280
25.000555, 5.000396, 4755, 1109, 14935.2, 15284, 23236, 60482, 65729, 66871, 232
30.000018, 4.999463, 4710, 3799, 14718.2, 15241, 23055, 60238, 65713, 68577, 182
35.00079, 5.000772, 5221, 1772, 14709.1, 15261, 23113, 57441, 65961, 69291, 191
40.000811, 5.000021, 4870, 3165, 14750.8, 15242, 23949, 60579, 67052, 68767, 198
45.000149, 4.999338, 4981, 4855, 14607.7, 15244, 23257, 56690, 63443, 65700, 176
50.000095, 4.999946, 4947, 2631, 14635.6, 15256, 23069, 59781, 64539, 68017, 165
55.000048, 4.999953, 5015, 2952, 14948.7, 15286, 23825, 60293, 65192, 68055, 163
60.000093, 5.000045, 5023, 3486, 14816.3, 15249, 23527, 61226, 65755, 68070, 165
65.000089, 4.999996, 4846, 2152, 14727.5, 15245, 23778, 61347, 66768, 68830, 169
70.00098, 5.000891, 5090, 4578, 14621.9, 15266, 23384, 57295, 65881, 68830, 135
75.000021, 4.999041, 4845, 3396, 14864.6, 15265, 23798, 60501, 65996, 72712, 151
80.000203, 5.000182, 5055, 4211, 15112.5, 15281, 24215, 60603, 65783, 67654, 159
85.000085, 4.999882, 5032, 2635, 14941.3, 15266, 24502, 59576, 64449, 68077, 108
90.000042, 4.999957, 5000, 2635, 14848.4, 15257, 23034, 60284, 64087, 70346, 135
95.000632, 5.00059, 4961, 2572, 14772.0, 15272, 23307, 60130, 65357, 67904, 113
100.000017, 4.999385, 4891, 4413, 14801.4, 15256, 23197, 60269, 66235, 68043, 111
105.000015, 4.999998, 5134, 3367, 14899.0, 15267, 23727, 60403, 63519, 67302, 119
110.000009, 4.999994, 4867, 3918, 14822.2, 15248, 23831, 61118, 66617, 68778, 118
115.000371, 5.000362, 4867, 3918, 15025.4, 15268, 23964, 60152, 65444, 68778, 140
120.000119, 4.999748, 5055, 4804, 14726.6, 15248, 23443, 60251, 65730, 69100, 126
125.00077, 5.000651, 5016, 4268, 14881.9, 15262, 23168, 59190, 65885, 72094, 109
130.000007, 4.999237, 5077, 4193, 14878.6, 15264, 23964, 59898, 65832, 68578, 100
135.000501, 5.000494, 4859, 1873, 14891.6, 15264, 23476, 61001, 65889, 68386, 111
140.000032, 4.999531, 4920, 2566, 14879.8, 15258, 23806, 61315, 66097, 67330, 77
145.00004, 5.000008, 5068, 637, 14828.5, 15271, 23593, 60304, 66097, 67897, 68
150.000019, 4.999979, 5242, 2911, 14935.8, 15294, 23567, 60150, 66260, 69901, 114
155.000013, 4.999994, 4972, 1397, 14715.5, 15243, 23070, 59684, 65085, 67054, 73
160.000103, 5.00009, 5050, 4241, 14868.4, 15267, 23320, 60382, 65644, 66777, 100
165.000449, 5.000346, 5113, 4026, 15117.7, 15293, 24399, 61065, 67421, 70860, 88
170.000015, 4.999566, 4954, 2203, 14852.8, 15247, 23833, 61178, 66489, 68592, 111
175.000294, 5.000279, 5140, 2076, 14721.6, 15257, 23458, 60096, 65362, 68739, 86
180.000123, 4.999829, 4979, 4383, 14839.5, 15279, 23449, 60849, 65899, 72429, 97
185.000241, 5.000118, 5292, 2256, 14953.2, 15277, 24059, 60709, 65231, 66220, 120
190.000095, 4.999854, 5237, 4632, 14875.1, 15261, 23581, 59752, 65975, 67644, 129
195.00004, 4.999945, 4855, 3797, 14704.8, 15259, 23675, 58976, 63880, 65886, 106
200.00001, 4.99997, 5046, 362, 14761.5, 15252, 23480, 60647, 64192, 67911, 109
205.000409, 5.000399, 5238, 2695, 14692.5, 15263, 23462, 57216, 64876, 68265, 90
210.000033, 4.999624, 5008, 4910, 14677.9, 15260, 23415, 58445, 64992, 67333, 83
215.000015, 4.999982, 5225, 1458, 14658.9, 15248, 23696, 60463, 63914, 65982, 103
220.000852, 5.000837, 5308, 2827, 15019.9, 15278, 24213, 60493, 63960, 67351, 78
225.000019, 4.999167, 5087, 564, 15014.9, 15278, 24122, 60786, 66583, 68521, 91
230.000007, 4.999988, 5030, 1888, 14818.6, 15249, 23839, 60279, 65590, 67996, 86
235.000163, 5.000156, 4938, 1409, 14883.9, 15255, 24122, 61126, 65997, 68126, 81
240.000068, 4.999905, 4884, 3743, 14867.2, 15257, 23917, 59943, 63948, 67921, 66
245.00001, 4.999942, 4891, 4053, 14909.1, 15266, 23957, 60786, 65645, 67884, 79
250.000041, 5.000031, 5059, 2087, 14765.1, 15261, 23438, 60104, 65756, 70978, 101
255.000175, 5.000134, 5124, 397, 14824.0, 15251, 24023, 60103, 66200, 68579, 129
260.000173, 4.999998, 5095, 1414, 14907.1, 15245, 23868, 61126, 65138, 68867, 96
265.000015, 4.999842, 5000, 4482, 14731.3, 15255, 23939, 60473, 66064, 69623, 72
270.000013, 4.999998, 5052, 3218, 15144.0, 15287, 24722, 60620, 65889, 69623, 72
275.000008, 4.999995, 5068, 3099, 14745.6, 15248, 24127, 60325, 64607, 67748, 74
280.000062, 5.000054, 4989, 2085, 15204.5, 15268, 24390, 61836, 67014, 68633, 65
285.000735, 5.000673, 4953, 1764, 14778.1, 15262, 24026, 59023, 65658, 66891, 95
290.00011, 4.999375, 4924, 2495, 14824.8, 15262, 23490, 60644, 64128, 65046, 38
295.000168, 5.000058, 5308, 2288, 14679.7, 15245, 23197, 59800, 64044, 67801, 73
300.000061, 4.999893, 5125, 2389, 14484.0, 15236, 22636, 57239, 64435, 70546, 59
301.015198, 1.015137, 1018, 2389, 14422.3, 15232, 22296, 57731, 65530, 70546, 13
