elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.00002, 5.00002, 38411, 6382, 46534.4, 47702, 67767, 83778, 111156, 139050, 5148
10.000053, 5.000033, 36668, 6692, 45844.4, 47121, 66500, 78672, 99930, 125534, 5239
15.000143, 5.00009, 37079, 6610, 45816.9, 47112, 66356, 77283, 100835, 119721, 5167
20.000197, 5.000054, 35871, 6796, 45925.2, 47266, 66500, 79507, 101364, 126385, 5071
25.000279, 5.000082, 37420, 6810, 45829.4, 47176, 66340, 77259, 97251, 116037, 5198
30.000831, 5.000552, 37236, 6534, 45874.0, 47248, 66229, 76440, 97534, 134608, 5172
35.000026, 4.999195, 36524, 6386, 45808.2, 47165, 66293, 78319, 100501, 139545, 5205
40.000248, 5.000222, 37960, 6643, 45937.1, 47270, 66315, 76758, 98466, 118821, 5186
45.000544, 5.000296, 37377, 6627, 45800.7, 47186, 66011, 76536, 98413, 114116, 5185
50.000039, 4.999495, 37713, 7089, 45898.4, 47191, 66251, 77802, 100148, 115903, 5131
55.000059, 5.00002, 36556, 5940, 45848.8, 47261, 66271, 77162, 100580, 124921, 5163
60.000536, 5.000477, 36992, 6867, 45910.8, 47190, 66357, 79111, 101172, 150181, 5164
65.000031, 4.999495, 36920, 6074, 46070.8, 47257, 66972, 80153, 99718, 123094, 5076
70.000212, 5.000181, 36598, 6338, 45873.0, 47045, 66580, 78861, 103369, 128875, 5140
75.000019, 4.999807, 37313, 6231, 46015.7, 47364, 66783, 78901, 101274, 138260, 5100
80.000616, 5.000597, 36710, 6558, 45965.4, 47361, 66324, 77972, 100653, 117435, 5101
85.000024, 4.999408, 36878, 6545, 46097.0, 47354, 66794, 77511, 97792, 122343, 5188
90.00008, 5.000056, 36704, 6956, 46008.2, 47357, 66654, 77919, 100555, 134971, 5144
95.000018, 4.999938, 37373, 6722, 46093.5, 47299, 66773, 78056, 101921, 132083, 5138
100.000074, 5.000056, 37010, 6589, 45875.2, 47138, 66593, 77667, 99225, 120436, 5103
105.000477, 5.000403, 36700, 6772, 45922.8, 47290, 66543, 77987, 99611, 132549, 5075
110.000042, 4.999565, 36198, 6722, 46077.3, 47361, 66639, 79078, 99710, 118087, 5200
115.000012, 4.99997, 37209, 6544, 46040.5, 47468, 66294, 77624, 100144, 133300, 5166
120.000086, 5.000074, 36829, 6382, 45899.3, 47293, 66153, 76347, 98169, 122395, 5096
125.000257, 5.000171, 37035, 6319, 45971.9, 47275, 66621, 77526, 98256, 112454, 5125
130.000009, 4.999752, 37198, 6387, 46025.3, 47305, 66598, 77276, 102313, 133821, 5122
135.000065, 5.000056, 36510, 6804, 45903.2, 47299, 66029, 76890, 97125, 131690, 5123
140.001468, 5.001403, 35658, 6469, 45977.0, 47162, 66822, 78839, 99018, 126799, 5096
145.000177, 4.998709, 36716, 6853, 45967.8, 47234, 66393, 78839, 100918, 131360, 5192
150.000054, 4.999877, 38093, 6574, 45778.9, 47260, 65704, 76198, 97488, 129172, 5262
155.000006, 4.999952, 36790, 6433, 45988.5, 47324, 66437, 77861, 98096, 125986, 5141
160.000027, 5.000021, 37233, 7105, 46222.4, 47577, 66984, 78504, 99127, 118941, 5156
165.000022, 4.999995, 36286, 6594, 46138.1, 47418, 66811, 78766, 101955, 120834, 5145
170.000087, 5.000065, 37516, 6594, 46015.8, 47423, 66606, 77146, 98240, 121533, 5076
175.000039, 4.999952, 36088, 6086, 46090.6, 47359, 67055, 78707, 102610, 134266, 5057
180.000617, 5.000578, 36261, 7067, 46242.8, 47579, 66950, 79098, 100129, 116779, 5134
185.000049, 4.999432, 37086, 6825, 46139.9, 47484, 66888, 78435, 100431, 126464, 5200
190.000022, 4.999973, 37555, 6105, 46265.4, 47563, 66620, 78271, 101892, 122150, 5236
195.000648, 5.000626, 37252, 6796, 45895.8, 47340, 66358, 76028, 96779, 122545, 5147
200.000033, 4.999385, 36686, 6155, 46346.7, 47675, 66976, 79244, 100576, 122725, 5071
205.000128, 5.000095, 37384, 6569, 45910.8, 47260, 66265, 76965, 98166, 121888, 5068
210.000006, 4.999878, 38177, 6291, 46046.5, 47415, 66261, 77051, 98932, 118450, 5246
215.000035, 5.000029, 37189, 6563, 46102.4, 47448, 66580, 77499, 99442, 134977, 5051
220.000032, 4.999997, 37504, 7341, 45946.4, 47336, 66307, 77456, 96156, 119017, 5130
225.000115, 5.000083, 37569, 6611, 46189.5, 47504, 66601, 77857, 97933, 137924, 5153
230.000219, 5.000104, 35905, 6811, 46430.4, 47632, 67034, 79768, 101691, 139693, 5000
235.000035, 4.999816, 36571, 6813, 46408.7, 47645, 67015, 78550, 102102, 137196, 5234
240.000613, 5.000578, 36852, 6484, 46134.1, 47465, 66805, 78916, 99597, 133730, 5247
245.000039, 4.999426, 37060, 6510, 46504.5, 47832, 67051, 78259, 98865, 155242, 5123
250.000512, 5.000473, 36889, 6833, 46211.2, 47396, 66876, 78134, 101672, 123740, 5104
255.000034, 4.999522, 37470, 6833, 46098.6, 47368, 66580, 78095, 98789, 131419, 5135
260.000497, 5.000463, 36864, 6565, 46143.2, 47354, 66742, 78042, 101353, 128115, 5067
265.000012, 4.999515, 37109, 6565, 46206.2, 47528, 67000, 78369, 97861, 117919, 5156
270.000012, 5.0, 36751, 6549, 46150.4, 47422, 66973, 78534, 101022, 116456, 5202
275.000156, 5.000144, 37061, 6759, 46545.5, 47904, 67275, 79296, 101087, 116328, 5227
280.000099, 4.999943, 37470, 7193, 46215.7, 47674, 66431, 77083, 99428, 125749, 5164
