elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000059, 5.000059, 53631, 5762, 59557.4, 37826, 191744, 307812, 453979, 1009832, 0
10.000075, 5.000016, 49387, 2947, 65160.0, 37707, 219244, 350296, 520070, 725657, 0
15.00002, 4.999945, 46785, 5037, 69357.8, 38195, 235911, 370117, 536191, 927859, 0
20.000136, 5.000116, 46995, 3181, 68979.2, 38140, 232269, 349380, 512760, 927859, 0
25.000064, 4.999928, 48453, 5164, 66276.5, 38064, 218473, 362973, 585002, 830353, 0
30.000027, 4.999963, 48637, 4584, 66116.2, 38012, 222663, 341976, 506607, 791133, 0
35.000038, 5.000011, 44975, 5501, 71524.4, 38458, 247962, 373919, 545322, 854020, 0
40.000016, 4.999978, 47016, 3603, 68736.9, 38096, 238792, 365891, 528371, 683742, 0
45.000018, 5.000002, 46728, 5261, 67824.3, 38092, 227284, 360018, 526273, 718979, 0
50.000126, 5.000108, 46073, 4202, 69572.6, 38204, 237280, 368740, 541219, 742342, 0
55.000057, 4.999931, 46208, 3022, 70560.3, 37997, 245083, 374924, 532122, 860472, 0
60.000553, 5.000496, 47092, 4135, 68102.8, 38083, 230778, 332517, 476897, 788541, 0
65.000007, 4.999454, 46824, 5380, 68772.8, 38216, 231477, 348170, 487042, 716069, 0
70.000045, 5.000038, 46439, 4131, 70013.4, 38082, 238450, 352083, 518708, 779059, 0
75.000154, 5.000109, 46056, 4189, 70808.2, 38243, 243673, 374335, 536198, 778621, 0
80.000012, 4.999858, 45915, 4269, 68866.7, 38320, 236964, 341151, 482763, 765415, 0
85.000148, 5.000136, 48197, 5935, 67057.7, 38064, 229310, 342628, 497888, 747373, 0
90.000031, 4.999883, 45946, 4797, 70843.0, 38249, 249938, 353617, 512401, 747373, 0
95.000104, 5.000073, 44782, 4898, 73312.2, 38510, 260415, 403319, 592397, 929680, 0
100.000071, 4.999967, 46419, 4466, 68181.1, 37937, 233510, 346977, 520160, 910166, 0
105.00013, 5.000059, 46184, 5591, 69548.7, 38118, 241437, 356728, 500618, 910166, 0
110.000035, 4.999905, 47291, 4080, 67699.9, 37790, 227362, 348751, 477880, 622421, 0
115.001752, 5.001717, 45885, 5962, 70288.3, 38563, 242027, 360453, 520058, 939387, 0
120.000044, 4.998292, 44918, 4488, 70686.8, 38414, 243137, 365552, 531500, 761727, 0
125.000622, 5.000578, 46427, 3319, 69712.7, 38286, 242249, 371578, 518981, 773457, 0
130.000026, 4.999404, 45195, 5111, 70604.1, 38481, 243089, 369036, 515467, 833687, 0
135.000014, 4.999988, 44384, 3440, 74133.2, 38680, 263223, 383521, 556365, 833687, 0
140.000071, 5.000057, 44504, 5811, 72695.1, 38494, 261515, 412899, 554204, 964511, 0
145.000116, 5.000045, 43734, 6093, 73663.2, 38865, 252104, 391546, 559002, 942641, 0
150.000079, 4.999963, 42640, 4865, 73697.9, 38631, 258524, 406770, 629002, 1198670, 0
155.000012, 4.999933, 44531, 5070, 72577.5, 38693, 253822, 388841, 572920, 977657, 0
160.000315, 5.000303, 44345, 5742, 72457.4, 38962, 252000, 399728, 566752, 924427, 0
165.000035, 4.99972, 42327, 4185, 76585.4, 39383, 266779, 391532, 550778, 865081, 0
170.000049, 5.000014, 44512, 4355, 72110.3, 38700, 242712, 370827, 552445, 902541, 0
175.000041, 4.999992, 43963, 5465, 74358.0, 39013, 265523, 403645, 568770, 843393, 0
180.000037, 4.999996, 43899, 3859, 73351.9, 39100, 263991, 390835, 564945, 797181, 0
181.024446, 1.024409, 8041, 5936, 73596.8, 38889, 263601, 396251, 557465, 797181, 0
