elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000227, 5.000227, 6256, 2568, 15578.5, 15898, 22540, 25807, 39551, 62740, 4488
10.00155, 5.001323, 6837, 1568, 15137.1, 15666, 21822, 24664, 27046, 35494, 4364
15.000111, 4.998561, 7077, 1568, 15211.3, 15733, 22058, 24977, 29079, 52247, 4187
20.000187, 5.000076, 7027, 1647, 15351.2, 15770, 21958, 24775, 33075, 58422, 3871
25.000039, 4.999852, 6954, 1446, 15260.4, 15780, 21983, 24887, 28800, 34804, 3900
30.000088, 5.000049, 6988, 2912, 15320.0, 15790, 22003, 24708, 32925, 47883, 3800
35.000192, 5.000104, 7193, 2030, 15282.1, 15767, 21985, 24597, 30880, 44693, 3919
40.000348, 5.000156, 7257, 1433, 15146.9, 15672, 21894, 24536, 27483, 52800, 3961
45.000055, 4.999707, 7281, 1979, 15255.5, 15744, 21890, 24866, 30624, 47805, 3850
50.000162, 5.000107, 7257, 1782, 15179.4, 15732, 22010, 24745, 29703, 53619, 3963
55.000039, 4.999877, 7280, 1782, 15318.4, 15817, 21978, 24770, 29673, 53619, 3864
60.000593, 5.000554, 7377, 2681, 15260.6, 15774, 21974, 24693, 31369, 41577, 3959
65.000032, 4.999439, 7257, 2464, 15334.9, 15755, 22027, 24828, 40756, 49200, 3799
70.000213, 5.000181, 7139, 2464, 15286.3, 15795, 21944, 24641, 31559, 40756, 3792
75.000009, 4.999796, 7060, 1594, 15361.2, 15764, 22085, 24829, 29757, 52965, 3885
80.000007, 4.999998, 7039, 1415, 15350.5, 15819, 22212, 24905, 29472, 37168, 3838
85.000578, 5.000571, 7424, 1883, 15250.6, 15740, 21866, 24642, 30814, 55285, 3896
90.00004, 4.999462, 7075, 2566, 15271.6, 15732, 21856, 24555, 27627, 42679, 3818
95.000052, 5.000012, 7310, 2467, 15220.8, 15769, 21942, 24629, 27771, 42679, 3989
100.000205, 5.000153, 7376, 1454, 15321.1, 15814, 21941, 24652, 27640, 54656, 3977
105.000301, 5.000096, 7207, 670, 15227.3, 15777, 21797, 24338, 27453, 40873, 4001
110.000028, 4.999727, 7237, 1168, 15244.8, 15730, 21970, 24756, 35496, 47582, 3947
115.000089, 5.000061, 7419, 1876, 15255.2, 15756, 21983, 24780, 34044, 61940, 3839
120.000113, 5.000024, 7186, 910, 15342.1, 15829, 21989, 24687, 28430, 51384, 3864
125.000012, 4.999899, 7179, 3116, 15461.2, 15849, 22214, 25136, 28355, 40137, 3889
130.000232, 5.00022, 7307, 2367, 15469.3, 15906, 21984, 24762, 31088, 42663, 3840
135.000088, 4.999856, 7161, 1829, 15488.9, 15875, 22127, 24670, 27638, 38500, 3856
140.000558, 5.00047, 7305, 2503, 15346.6, 15842, 22176, 24829, 31390, 39621, 3813
145.000114, 4.999556, 7252, 1168, 15398.6, 15868, 22167, 24764, 30690, 38013, 3940
150.000031, 4.999917, 7203, 2521, 15247.5, 15759, 21936, 24486, 31191, 56631, 3854
155.000149, 5.000118, 7368, 2147, 15380.9, 15871, 21965, 24715, 32289, 43168, 3811
160.000041, 4.999892, 7319, 1913, 15253.9, 15782, 22022, 24616, 31586, 50328, 3873
165.000011, 4.99997, 7327, 683, 15327.9, 15811, 21884, 24654, 27981, 46499, 3906
170.000097, 5.000086, 7276, 1510, 15278.3, 15752, 22019, 24684, 27889, 37166, 3856
175.001553, 5.001456, 7313, 1743, 15344.8, 15804, 21963, 24659, 28918, 38608, 4033
180.000031, 4.998478, 7273, 2117, 15326.0, 15793, 22151, 24998, 33223, 52094, 3912
181.024805, 1.024774, 1251, 2117, 15398.8, 15835, 22220, 24998, 33223, 52094, 782
