elapsed, window, total, successful, failed
5.000035, 5.000035, 36594, 21506, 15088
10.000013, 4.999978, 37792, 23796, 13996
15.000442, 5.000429, 38453, 24425, 14028
20.000131, 4.999689, 38181, 24537, 13644
25.000013, 4.999882, 36968, 23913, 13055
30.000095, 5.000082, 38299, 24698, 13601
35.000559, 5.000464, 37784, 24625, 13159
40.000336, 4.999777, 37991, 24435, 13556
45.000014, 4.999678, 39040, 25281, 13759
50.000041, 5.000027, 37557, 24347, 13210
55.000024, 4.999983, 38793, 25087, 13706
60.000131, 5.000107, 37562, 24561, 13001
65.000045, 4.999914, 38094, 24693, 13401
70.000056, 5.000011, 37920, 24533, 13387
75.000175, 5.000119, 37962, 24626, 13336
80.000019, 4.999844, 38405, 25040, 13365
85.000032, 5.000013, 38538, 24972, 13566
90.000068, 5.000036, 37907, 24519, 13388
95.000167, 5.000099, 38591, 25196, 13395
100.000009, 4.999842, 38401, 25031, 13370
105.000319, 5.00031, 37623, 24406, 13217
110.000026, 4.999707, 37307, 23803, 13504
115.000015, 4.999989, 37789, 24364, 13425
120.000375, 5.00036, 37961, 24559, 13402
125.000031, 4.999656, 38614, 24980, 13634
130.000057, 5.000026, 36922, 23902, 13020
135.00018, 5.000123, 37319, 24057, 13262
140.000125, 4.999945, 37857, 24595, 13262
145.000274, 5.000149, 37613, 24511, 13102
150.000238, 4.999964, 37215, 23864, 13351
155.000415, 5.000177, 38182, 24544, 13638
160.001335, 5.00092, 36237, 23472, 12765
165.000023, 4.998688, 36507, 23630, 12877
170.00015, 5.000127, 36154, 23363, 12791
175.000412, 5.000262, 37827, 24495, 13332
180.000102, 4.99969, 36727, 23836, 12891
181.022688, 1.022586, 7531, 4864, 2667
