elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
5.000054, 5.000054, 23115, 645, 12476.3, 10299, 28062, 39404, 56434, 74665, 2769
10.00007, 5.000016, 22029, 1036, 11446.8, 9574, 24952, 35929, 51687, 65466, 2949
15.001159, 5.001089, 22250, 603, 11906.4, 10028, 25645, 37451, 55442, 85769, 2836
20.000378, 4.999219, 22793, 603, 12196.1, 10384, 26164, 35867, 49175, 67906, 2708
25.000161, 4.999783, 22471, 710, 12149.8, 10478, 25532, 34893, 46987, 62588, 2634
30.001007, 5.000846, 22213, 784, 11920.5, 9997, 25918, 36397, 56034, 75031, 2686
35.000304, 4.999297, 22148, 953, 12071.3, 10200, 26111, 37221, 55758, 74894, 2697
40.000958, 5.000654, 21664, 966, 11540.1, 9586, 25279, 35433, 48206, 65057, 2590
45.000092, 4.999134, 21826, 965, 12051.5, 10101, 26679, 36384, 48295, 58610, 2708
50.000359, 5.000267, 22146, 1030, 12330.0, 10385, 27086, 37703, 50621, 60122, 2696
55.000053, 4.999694, 22027, 769, 12147.6, 10124, 26711, 38414, 52635, 62795, 2628
60.000228, 5.000175, 21705, 888, 12338.4, 10509, 26453, 36134, 49312, 66320, 2641
65.000014, 4.999786, 21429, 998, 11813.2, 9741, 26551, 37157, 51229, 64375, 2602
70.000449, 5.000435, 21931, 865, 12365.9, 10279, 27454, 38519, 55222, 75629, 2551
75.00209, 5.001641, 20944, 1175, 12071.2, 10133, 26521, 36583, 53176, 65707, 2655
80.000019, 4.997929, 21044, 849, 12681.6, 10691, 27902, 39988, 57829, 67911, 2630
85.001091, 5.001072, 21070, 839, 12270.8, 10284, 27016, 37590, 51367, 62897, 2582
90.000567, 4.999476, 21197, 672, 12791.6, 10794, 28061, 39268, 55494, 65194, 2652
95.000103, 4.999536, 20759, 490, 12717.9, 10805, 27426, 39507, 54644, 64265, 2532
100.000686, 5.000583, 21071, 994, 12485.8, 10617, 26922, 37190, 50659, 64010, 2513
105.000138, 4.999452, 20613, 717, 12574.7, 10797, 26923, 36594, 48507, 74187, 2631
110.000027, 4.999889, 20789, 966, 12940.9, 10876, 28484, 38516, 55534, 71748, 2499
115.001027, 5.001, 20728, 929, 12770.8, 10790, 28194, 37928, 55216, 71748, 2653
120.000044, 4.999017, 20224, 929, 13143.3, 11259, 28399, 38331, 51588, 71659, 2544
125.000031, 4.999987, 20752, 1164, 12903.1, 10820, 28592, 40495, 53155, 64016, 2570
130.00014, 5.000109, 20624, 657, 12606.4, 10479, 28273, 39122, 57993, 70469, 2456
135.000033, 4.999893, 20511, 657, 12670.8, 10473, 28377, 41335, 60257, 70469, 2455
140.000018, 4.999985, 20457, 805, 13164.8, 11272, 27927, 39978, 55358, 71112, 2583
145.000144, 5.000126, 19847, 701, 12453.9, 10372, 27526, 37956, 58388, 89365, 2514
150.000008, 4.999864, 20502, 867, 13507.8, 11456, 29301, 40218, 56641, 103869, 2535
155.000014, 5.000006, 19687, 946, 13342.3, 11364, 29093, 40025, 53145, 65094, 2506
160.000013, 4.999999, 20014, 926, 13539.9, 11528, 29511, 40712, 56660, 67200, 2509
165.000023, 5.00001, 19854, 674, 13394.3, 11256, 29530, 40816, 57545, 78233, 2488
170.000087, 5.000064, 19702, 904, 13288.9, 11387, 28926, 39357, 52010, 83809, 2511
175.000114, 5.000027, 20111, 944, 13370.4, 11333, 29651, 40649, 56911, 83809, 2474
180.000062, 4.999948, 20124, 1285, 13363.7, 11040, 30271, 42515, 59383, 72279, 2443
181.024116, 1.024054, 648, 612, 12779.9, 10371, 28992, 41849, 59230, 70868, 112
